title,status,source,notes,local_file
SWE-Gym: Training Software Engineering Agents and Verifiers with SWE-Gym,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_gym_training_software_engineering_agents_and_verifiers_with_swe_gym.pdf
Prometheus: Towards Long-Horizon Codebase Navigation for Repository-Level Problem Solving,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/prometheus_towards_long_horizon_codebase_navigation_for_repository_level_problem_solving.pdf
ContextBench: A Benchmark for Context Retrieval in Coding Agents,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/contextbench_a_benchmark_for_context_retrieval_in_coding_agents.pdf
ACON: Optimizing Context Compression for Long-horizon LLM Agents,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/acon_optimizing_context_compression_for_long_horizon_llm_agents.pdf
SABER: Small Actions, Big Errors,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/saber_small_actions_big_errors.pdf
CoMem: Context Management with a Decoupled Long-Term Memory,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/comem_context_management_with_a_decoupled_long_term_memory.pdf
SWE-EVO: Benchmarking Coding Agents in Long-Horizon Software Evolution Scenarios,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_evo_benchmarking_coding_agents_in_long_horizon_software_evolution_scenarios.pdf
The SWE-Bench Illusion: When State-of-the-Art LLMs Remember Instead of Reason,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/the_swe_bench_illusion_when_state_of_the_art_llms_remember_instead_of_reason.pdf
Saving SWE-Bench: A Benchmark Mutation Approach for Realistic Agent Evaluation,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/saving_swe_bench_a_benchmark_mutation_approach_for_realistic_agent_evaluation.pdf
ABTest: Behavior-Driven Testing for AI Coding Agents,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/abtest_behavior_driven_testing_for_ai_coding_agents.pdf
c-CRAB: Code Review Agent Benchmark,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/c_crab_code_review_agent_benchmark.pdf
From Laboratory to Real-World Applications: Benchmarking Agentic Code Reasoning at the Repository Level,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/from_laboratory_to_real_world_applications_benchmarking_agentic_code_reasoning_at_the_repository_level.pdf
SWE-Bench-CL: Continual Learning for Coding Agents,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_bench_cl_continual_learning_for_coding_agents.pdf
EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/experepair_dual_memory_enhanced_llm_based_repository_level_program_repair.pdf
SWE-Spot: Building Small Repo-Experts with Repository-Centric Learning,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_spot_building_small_repo_experts_with_repository_centric_learning.pdf
SWE-PolyBench,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_polybench.pdf
FEA-Bench,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/fea_bench.pdf
More with Less: An Empirical Study of Turn-Control Strategies for Efficient Coding Agents,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/more_with_less_an_empirical_study_of_turn_control_strategies_for_efficient_coding_agents.pdf
SWE-Effi: Re-Evaluating Software AI Agent System Effectiveness Under Resource Constraints,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_effi_re_evaluating_software_ai_agent_system_effectiveness_under_resource_constraints.pdf
Dissecting the SWE-Bench Leaderboards,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/dissecting_the_swe_bench_leaderboards.pdf
Otter: Generating Tests from Issues to Validate SWE Patches,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/otter_generating_tests_from_issues_to_validate_swe_patches.pdf
Heterogeneous Prompting and Execution Feedback for SWE Issue Test Generation and Selection,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/heterogeneous_prompting_and_execution_feedback_for_swe_issue_test_generation_and_selection.pdf
Agentic Harness for Real-World Compilers,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/agentic_harness_for_real_world_compilers.pdf
ReAct,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/react.pdf
OpenHands,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/openhands.pdf
SEAlign: Alignment Training for Software Engineering Agents,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/sealign_alignment_training_for_software_engineering_agents.pdf
ToolTrain: Enhancing Issue Localization Agent with Tool-Interactive Training,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/tooltrain_enhancing_issue_localization_agent_with_tool_interactive_training.pdf
RepoReason: Benchmarking Agentic Code Reasoning at the Repository Level,found,local,already_present,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/reporeason_benchmarking_agentic_code_reasoning_at_the_repository_level.pdf
SWE-bench,found,local_alias,duplicate_title_entry,/Users/dhravidkumar/Documents/Codex/Projects/Coding Agent Papers/papers/pdfs/swe_bench_can_language_models_resolve_real_world_github_issues_.pdf
